_ArtistIDpk,ARTIST_nameonlabel,Artist_Last_First,ArtistNameFirst,ArtistNameLast,Artist_yearofbirth,Artist_countryofbirth,Artist_country,Artist_gender,Artist_website,ARTIST_Bio
1214,Pidder Auberger,"Auberger, Pidder",Pidder,Auberger,,,,,,
284,Juergen Aubrecht,"Aubrecht, Juergen",Juergen,Aubrecht,,,,,,
1408,Audio Arts,Audio Arts,,Audio Arts,,,,,,
1030,Alice Austen,"Austen, Alice",Alice,Austen,1866-1952,USA,USA,,,
1122,David Austen,"Austen, David",David,Austen,,,,,,
1458,John Austin,"Austin, John",John,Austin,,,,,,
139,Elif Ayiter a.k.a. Alpha Auer,"Ayiter, Elif",Elif,Ayiter,,,,,,
1527,Gillian Ayres,"Ayres, Gillian",Gillian,Ayres,,,,,,
744,Clara Azevedo,"Azevedo, Clara",Clara,Azevedo,,,Portugal,,,
161,Franko B,"B, Franko",Franko,B,,,,,,
907,Ona B.,"B, Ona",Ona,B,,,,,,
493,Sarah Backhouse,"Backhouse, Sarah",Sarah,Backhouse,,,,,,
790,John Bacon the Elder,"Bacon the Elder, John",John,Bacon the Elder,1740-1799,UK,,,,
1258,Candace Bahouth,"Bahouth, Candace",Candace,Bahouth,,,,,,
1137,Fred Baier,"Baier, Fred",Fred,Baier,,,,,,
405,Nick Bailey,"Bailey, Nick",Nick,Bailey,,,,,,
147,Eric Bainbridge,"Bainbridge, Eric",Eric,Bainbridge,,,,,,
125,Deborah Baker,"Baker, Deborah",Deborah,Baker,,,,,,
45,Bill Balaskas,"Balaskas, Bill",Bill,Balaskas,,,,,,
861,Eugenia Balcells,"Balcells, Eugenia",Eugenia,Balcells,,,"Spain, Catalan",,,
33,Antony Balch,"Balch, Antony",Antony,Balch,,,,,,
264,John Baldessari,"Baldessari, John",John,Baldessari,,,,,,
1046,Edourdo-D. Baldus,"Baldus, Edourdo",Edourdo,Baldus,1815-1882,France,France,,,
1282,Janusz Ba_dyga,"Ba_dyga, Janusz",Janusz,Ba_dyga,,,Poland,,,
386,Miroslaw Balka,"Balka, Miroslaw",Miroslaw,Balka,,,Poland ,,,
599,Glyn Banks,"Banks, Glyn",Glyn,Banks,,,,,,
789,Thomas Banks,"Banks, Thomas",Thomas,Banks,1735-1805,UK,,,,
814,Fiona Banner,"Banner, Fiona",Fiona,Banner,,,,,,
749,Pedro Baptista,"Baptista, Pedro",Pedro,Baptista,,,Portugal,,,
1499,Henry Aston Barker,"Barker, Henry",Henry,Aston Barker,1774-1856,,,,,
438,Phyllida Barlow,"Barlow, Phyllida",Phyllida,Barlow,,,,,,
1459,Jane Barnes,"Barnes, Jane",Jane,Barnes,,,,,,
1234,Nick Barnes,"Barnes, Nick",Nick,Barnes,,,UK,,,
581,Yto Barrada,"Barrada, Yto",Yto,Barrada,,,,,,
1568,David Barrett,"Barrett, David",David,Barrett,,,,,,
447,Ray Barrie,"Barrie, Ray",Ray,Barrie,,,,,,
473,Roland Barthes,"Barthes, Roland",Roland,Barthes,1915-1980,France,France,,,
844,Massimo Bartolini,"Bartolini, Massimo",Massimo,Bartolini,,,Italy,,,
451,Ricardo Basbaum,"Basbaum, Ricardo",Ricardo,Basbaum,,,,,,
278,Jordan Baseman,"Baseman, Jordan",Jordan,Baseman,,,,,,
38,Ayton Basement,"Basement, Ayton",Ayton,Basement,,,,,,
1497,James Basire,"Basire, James",James,Basire,1730-1802,,,,,
531,Taysir Batniji,"Batniji, Taysir",Taysir,Batniji,1966,Palestine,France & Palenstine,,,
1094,Susan Batori,"Batori, Susan",Susan,Batori,,,,,,
1138,Richard Batterham,"Batterham, Richard",Richard,Batterham,,,,,,
129,Diann Bauer,"Bauer, Diann",Diann,Bauer,,,,,,
1021,Monika Baumgartl,"Baumgartl, Monika",Monika,Baumgartl,,,Germany,,,
176,Glen Baxter,"Baxter, Glen",Glen,Baxter,,,,,,
1062,Hippolyte Bayard,"Bayard, Hippolyte",Hippolyte,Bayard,1801-1887,France,France,,,
229,J. Beal,"Beal, J.",J.,Beal,,,,,,
538,Thomas Beal,"Beal, Thomas",Thomas,Beal,,,,,,
1161,Rita Beale,"Beale, Rita",Rita,Beale,,,,,,
692,Randal Beattie,"Beattie, Randal",Randal,Beattie,,,,,,
57,Breda Beban,"Beban, Breda",Breda,Beban,,,,,,
1019,Bernhard and Hilla Becher,"Becher, Bernhard and Hilla",Bernhard and Hilla,Becher,,,Germany,,,
330,Lutz Becher,"Becher, Lutz",Lutz,Becher,,,,,,
1231,Mike Beddington,"Beddington, Mike",Mike,Beddington,,,UK,,,
559,Vanessa Beecroft,"Beecroft, Vanessa",Vanessa,Beecroft,,,,,,
1460,Yolande Beer,"Beer, Yolande",Yolande,Beer,,,,,,
554,Ute Behrend,"Behrend, Ute",Ute,Behrend,,,,,,
996,Sylvie Bélanger,"Bélanger, Sylvie",Sylvie,Bélanger,,,Canada,,,
1284,Anna Beller,"Beller, Anna",Anna,Beller,,,Poland,,,
864,Jordi Benito,"Benito, Jordi",Jordi,Benito,,,"Spain, Catalan",,,
1429,Tony Bennett,"Bennett, Tony",Tony,Bennett,,,,,,
439,Pip Benveniste,"Benveniste, Pip",Pip,Benveniste,,,,,,
1125,Stephanie Bergman,"Bergman, Stephanie",Stephanie,Bergman,,,,,,
